ETF类型,合约月份,行权价,贴水价值,年化贴水率,剩余天数,记录日期
科创板50ETF,2603,1.55,-0.0441,-0.0549,209,2025-08-28
科创50ETF,2509,1.4,-0.0106,-0.1,27,2025-08-28
科创50ETF,2512,1.4,-0.0225,-0.0486,118,2025-08-28
科创50ETF,2512,1.45,-0.023,-0.0496,118,2025-08-28
科创50ETF,2512,1.55,-0.0247,-0.0533,118,2025-08-28
科创50ETF,2512,1.5,-0.024,-0.0518,118,2025-08-28
科创50ETF,2603,0.85,-0.0395,-0.0481,209,2025-08-28
科创50ETF,2603,0.95,-0.0389,-0.0474,209,2025-08-28
科创50ETF,2603,0.9,-0.039,-0.0475,209,2025-08-28
科创50ETF,2603,1.0,-0.0379,-0.0462,209,2025-08-28
科创50ETF,2603,1.1,-0.0379,-0.0462,209,2025-08-28
科创50ETF,2603,1.05,-0.0495,-0.0603,209,2025-08-28
科创50ETF,2603,1.15,-0.0364,-0.0444,209,2025-08-28
科创50ETF,2603,1.25,-0.0366,-0.0446,209,2025-08-28
科创50ETF,2603,1.2,-0.0471,-0.0574,209,2025-08-28
科创50ETF,2603,1.3,-0.035,-0.0427,209,2025-08-28
科创50ETF,2603,1.35,-0.03,-0.0366,209,2025-08-28
科创50ETF,2512,0.9,-0.0278,-0.06,118,2025-08-28
科创50ETF,2509,1.45,-0.0055,-0.0519,27,2025-08-28
科创50ETF,2603,1.45,-0.0277,-0.0338,209,2025-08-28
科创50ETF,2512,0.95,-0.028,-0.0604,118,2025-08-28
科创50ETF,2509,1.25,-0.0065,-0.0613,27,2025-08-28
科创50ETF,2509,1.3,-0.0044,-0.0415,27,2025-08-28
科创50ETF,2509,1.35,-0.0083,-0.0783,27,2025-08-28
科创50ETF,2509,1.55,-0.0052,-0.0491,27,2025-08-28
科创50ETF,2512,0.85,-0.0276,-0.0596,118,2025-08-28
科创50ETF,2512,1.1,-0.0285,-0.0615,118,2025-08-28
科创50ETF,2512,1.0,-0.0276,-0.0596,118,2025-08-28
科创50ETF,2512,1.2,-0.0254,-0.0548,118,2025-08-28
科创50ETF,2512,1.05,-0.0272,-0.0587,118,2025-08-28
科创50ETF,2512,1.25,-0.0299,-0.0645,118,2025-08-28
科创50ETF,2509,1.5,0.003,0.0283,27,2025-08-28
科创50ETF,2512,0.8,-0.0291,-0.0628,118,2025-08-28
科创50ETF,2512,1.3,-0.0358,-0.0773,118,2025-08-28
科创50ETF,2512,1.35,-0.0293,-0.0632,118,2025-08-28
科创50ETF,2512,1.15,-0.0271,-0.0585,118,2025-08-28
科创50ETF,2603,1.4,-0.0388,-0.0473,209,2025-08-28
科创50ETF,2603,1.5,-0.0295,-0.036,209,2025-08-28
300ETF,2509,4.8,0.0077,0.0228,27,2025-08-28
300ETF,2509,4.107,-0.0005,-0.0015,27,2025-08-28
300ETF,2509,4.303,0.0056,0.0166,27,2025-08-28
300ETF,2510,4.1,-0.0014,-0.002,55,2025-08-28
300ETF,2510,4.2,-0.0012,-0.0017,55,2025-08-28
300ETF,2510,4.3,0.0,0.0,55,2025-08-28
300ETF,2510,4.4,-0.0012,-0.0017,55,2025-08-28
300ETF,2510,4.5,0.0019,0.0028,55,2025-08-28
300ETF,2510,4.6,0.0028,0.0041,55,2025-08-28
300ETF,2510,4.7,-0.0004,-0.0006,55,2025-08-28
300ETF,2510,4.8,0.0029,0.0042,55,2025-08-28
300ETF,2510,4.9,-0.0087,-0.0127,55,2025-08-28
300ETF,2509,4.3,0.0043,0.0128,27,2025-08-28
300ETF,2509,4.6,0.0036,0.0107,27,2025-08-28
300ETF,2509,4.5,0.0042,0.0125,27,2025-08-28
300ETF,2509,4.7,0.0053,0.0157,27,2025-08-28
300ETF,2509,4.401,0.0039,0.0116,27,2025-08-28
300ETF,2509,4.205,0.006,0.0178,27,2025-08-28
300ETF,2509,4.2,0.0042,0.0125,27,2025-08-28
科创50ETF,2603,1.55,-0.0323,-0.0394,209,2025-08-28
300ETF,2509,4.0,0.0026,0.0077,27,2025-08-28
300ETF,2509,3.227,0.0057,0.0169,27,2025-08-28
300ETF,2509,3.325,0.0058,0.0172,27,2025-08-28
300ETF,2509,3.423,0.0053,0.0157,27,2025-08-28
300ETF,2509,3.52,0.0054,0.016,27,2025-08-28
300ETF,2509,3.5,0.0058,0.0172,27,2025-08-28
300ETF,2509,3.6,0.0054,0.016,27,2025-08-28
300ETF,2509,3.618,0.0049,0.0145,27,2025-08-28
300ETF,2509,3.716,0.0056,0.0166,27,2025-08-28
300ETF,2509,3.7,0.0054,0.016,27,2025-08-28
300ETF,2509,3.8,0.0049,0.0145,27,2025-08-28
300ETF,2509,3.814,0.0057,0.0169,27,2025-08-28
300ETF,2509,3.9,0.0049,0.0145,27,2025-08-28
300ETF,2509,3.912,0.0047,0.0139,27,2025-08-28
300ETF,2509,4.009,0.0047,0.0139,27,2025-08-28
300ETF,2509,4.1,0.0054,0.016,27,2025-08-28
科创50ETF,2509,1.2,-0.0051,-0.0481,27,2025-08-28
科创50ETF,2509,1.05,-0.0069,-0.0651,27,2025-08-28
科创50ETF,2510,1.55,-0.0168,-0.0778,55,2025-08-28
50ETF,2510,3.4,-0.0065,-0.0139,55,2025-08-28
50ETF,2509,3.1,0.0034,0.0149,27,2025-08-28
50ETF,2509,2.85,0.0024,0.0105,27,2025-08-28
50ETF,2509,2.95,0.0027,0.0118,27,2025-08-28
50ETF,2509,2.9,0.0026,0.0114,27,2025-08-28
50ETF,2509,3.0,0.0036,0.0157,27,2025-08-28
50ETF,2509,3.3,0.0037,0.0162,27,2025-08-28
50ETF,2509,3.2,0.0054,0.0236,27,2025-08-28
50ETF,2509,3.5,0.0085,0.0371,27,2025-08-28
50ETF,2512,2.5,0.0099,0.0099,118,2025-08-28
50ETF,2509,3.4,0.0038,0.0166,27,2025-08-28
50ETF,2512,2.55,0.0159,0.0159,118,2025-08-28
50ETF,2512,2.85,0.0175,0.0175,118,2025-08-28
50ETF,2512,2.75,0.0163,0.0163,118,2025-08-28
50ETF,2512,2.8,0.0178,0.0178,118,2025-08-28
50ETF,2512,2.65,0.0162,0.0162,118,2025-08-28
50ETF,2510,3.5,0.0007,0.0015,55,2025-08-28
50ETF,2510,3.3,0.0086,0.0184,55,2025-08-28
科创50ETF,2510,1.5,-0.0213,-0.0986,55,2025-08-28
50ETF,2510,3.2,0.0074,0.0159,55,2025-08-28
50ETF,2509,2.4,0.0063,0.0275,27,2025-08-28
50ETF,2509,2.45,0.0062,0.0271,27,2025-08-28
50ETF,2509,2.75,0.0024,0.0105,27,2025-08-28
50ETF,2509,2.65,0.0034,0.0149,27,2025-08-28
50ETF,2509,2.5,0.0065,0.0284,27,2025-08-28
50ETF,2509,2.6,0.0063,0.0275,27,2025-08-28
50ETF,2509,2.8,0.002,0.0087,27,2025-08-28
50ETF,2509,2.35,0.0044,0.0192,27,2025-08-28
50ETF,2509,2.7,0.0016,0.007,27,2025-08-28
50ETF,2509,2.55,0.006,0.0262,27,2025-08-28
50ETF,2510,2.85,0.0028,0.006,55,2025-08-28
50ETF,2510,2.9,0.0048,0.0103,55,2025-08-28
50ETF,2510,2.95,0.0059,0.0127,55,2025-08-28
50ETF,2510,3.0,0.0066,0.0142,55,2025-08-28
50ETF,2510,3.1,0.0078,0.0167,55,2025-08-28
50ETF,2512,2.7,0.0168,0.0168,118,2025-08-28
50ETF,2512,2.6,0.0164,0.0164,118,2025-08-28
50ETF,2512,2.9,0.018,0.018,118,2025-08-28
50ETF,2512,2.95,0.0149,0.0149,118,2025-08-28
科创50ETF,2509,0.75,-0.0035,-0.033,27,2025-08-28
科创50ETF,2509,0.8,-0.0037,-0.0349,27,2025-08-28
科创50ETF,2509,0.85,-0.0037,-0.0349,27,2025-08-28
科创50ETF,2509,0.9,-0.0046,-0.0434,27,2025-08-28
科创50ETF,2509,0.95,-0.0046,-0.0434,27,2025-08-28
科创50ETF,2509,1.0,-0.0092,-0.0868,27,2025-08-28
科创50ETF,2509,1.15,-0.0054,-0.0509,27,2025-08-28
科创50ETF,2509,1.1,-0.0037,-0.0349,27,2025-08-28
科创50ETF,2510,1.15,-0.0146,-0.0676,55,2025-08-28
科创50ETF,2510,1.2,-0.0309,-0.1431,55,2025-08-28
科创50ETF,2510,1.25,-0.0233,-0.1079,55,2025-08-28
科创50ETF,2510,1.3,-0.0162,-0.075,55,2025-08-28
科创50ETF,2510,1.35,-0.0136,-0.063,55,2025-08-28
科创50ETF,2510,1.4,-0.0134,-0.0621,55,2025-08-28
科创50ETF,2510,1.45,-0.0107,-0.0496,55,2025-08-28
50ETF,2603,3.2,0.0341,0.0192,209,2025-08-28
50ETF,2603,3.4,0.0406,0.0229,209,2025-08-28
50ETF,2603,3.3,0.0312,0.0176,209,2025-08-28
50ETF,2603,2.75,0.0332,0.0187,209,2025-08-28
50ETF,2512,3.0,0.017,0.017,118,2025-08-28
50ETF,2512,3.5,0.0244,0.0244,118,2025-08-28
50ETF,2603,2.7,0.025,0.0141,209,2025-08-28
50ETF,2512,3.3,0.0179,0.0179,118,2025-08-28
50ETF,2512,3.2,0.0184,0.0184,118,2025-08-28
50ETF,2512,3.4,0.0231,0.0231,118,2025-08-28
50ETF,2512,3.1,0.0145,0.0145,118,2025-08-28
50ETF,2603,3.5,0.0428,0.0242,209,2025-08-28
50ETF,2603,2.8,0.034,0.0192,209,2025-08-28
50ETF,2603,2.85,0.0363,0.0205,209,2025-08-28
50ETF,2603,2.9,0.0381,0.0215,209,2025-08-28
50ETF,2603,3.0,0.0316,0.0178,209,2025-08-28
50ETF,2603,3.1,0.035,0.0197,209,2025-08-28
50ETF,2603,2.95,0.027,0.0152,209,2025-08-28
300ETF,2509,4.9,0.0088,0.0261,27,2025-08-28
300ETF,2509,4.4,0.0043,0.0128,27,2025-08-28
300ETF,2509,5.0,0.0154,0.0457,27,2025-08-28
科创板50ETF,2509,0.8,-0.008,-0.0771,27,2025-08-28
科创板50ETF,2509,0.9,-0.0085,-0.0819,27,2025-08-28
科创板50ETF,2509,1.0,-0.0083,-0.08,27,2025-08-28
科创板50ETF,2509,0.95,-0.008,-0.0771,27,2025-08-28
科创板50ETF,2509,1.05,-0.0087,-0.0838,27,2025-08-28
科创板50ETF,2509,1.1,-0.0111,-0.107,27,2025-08-28
科创板50ETF,2510,1.1,-0.078,-0.3689,55,2025-08-28
科创板50ETF,2510,1.15,-0.0777,-0.3675,55,2025-08-28
科创板50ETF,2510,1.2,-0.0322,-0.1523,55,2025-08-28
科创板50ETF,2510,1.25,-0.0508,-0.2403,55,2025-08-28
科创板50ETF,2510,1.3,-0.0158,-0.0747,55,2025-08-28
科创板50ETF,2510,1.35,-0.0164,-0.0776,55,2025-08-28
科创板50ETF,2510,1.4,-0.0211,-0.0998,55,2025-08-28
科创板50ETF,2510,1.45,-0.0364,-0.1722,55,2025-08-28
科创板50ETF,2510,1.5,-0.0506,-0.2393,55,2025-08-28
科创板50ETF,2509,1.15,-0.0087,-0.0838,27,2025-08-28
科创板50ETF,2509,0.85,-0.0074,-0.0713,27,2025-08-28
500ETF,2603,8.0,-0.2677,-0.0658,209,2025-08-28
科创板50ETF,2509,1.3,-0.0087,-0.0838,27,2025-08-28
科创板50ETF,2509,0.75,-0.0072,-0.0694,27,2025-08-28
500ETF,2512,7.5,-0.1687,-0.0735,118,2025-08-28
500ETF,2512,7.25,-0.1702,-0.0741,118,2025-08-28
500ETF,2512,7.75,-0.1679,-0.0731,118,2025-08-28
300ETF,2512,3.423,0.001,0.0007,118,2025-08-28
500ETF,2512,8.0,-0.1644,-0.0716,118,2025-08-28
500ETF,2603,5.5,-0.304,-0.0747,209,2025-08-28
500ETF,2603,5.75,-0.2982,-0.0733,209,2025-08-28
500ETF,2603,6.0,-0.3026,-0.0744,209,2025-08-28
500ETF,2603,6.25,-0.2934,-0.0721,209,2025-08-28
500ETF,2603,6.5,-0.2902,-0.0713,209,2025-08-28
500ETF,2603,6.75,-0.288,-0.0708,209,2025-08-28
500ETF,2603,7.0,-0.2864,-0.0704,209,2025-08-28
500ETF,2603,7.25,-0.2647,-0.0651,209,2025-08-28
500ETF,2603,7.5,-0.2617,-0.0643,209,2025-08-28
500ETF,2603,7.75,-0.2621,-0.0644,209,2025-08-28
科创板50ETF,2509,1.2,-0.0114,-0.1098,27,2025-08-28
科创板50ETF,2509,1.25,-0.0105,-0.1012,27,2025-08-28
500ETF,2512,6.75,-0.1851,-0.0806,118,2025-08-28
科创板50ETF,2512,1.35,-0.0269,-0.0593,118,2025-08-28
科创板50ETF,2512,1.55,-0.0232,-0.0511,118,2025-08-28
科创板50ETF,2603,0.85,-0.0515,-0.0641,209,2025-08-28
科创板50ETF,2603,0.9,-0.0509,-0.0634,209,2025-08-28
科创板50ETF,2603,0.95,-0.0501,-0.0624,209,2025-08-28
科创板50ETF,2603,1.0,-0.0484,-0.0602,209,2025-08-28
科创板50ETF,2603,1.05,-0.0487,-0.0606,209,2025-08-28
科创板50ETF,2603,1.1,-0.0474,-0.059,209,2025-08-28
科创板50ETF,2603,1.15,-0.0456,-0.0568,209,2025-08-28
科创板50ETF,2603,1.25,-0.0405,-0.0504,209,2025-08-28
科创板50ETF,2603,1.2,-0.041,-0.051,209,2025-08-28
科创板50ETF,2603,1.3,-0.0414,-0.0515,209,2025-08-28
科创板50ETF,2603,1.35,-0.0412,-0.0513,209,2025-08-28
科创板50ETF,2603,1.4,-0.0454,-0.0565,209,2025-08-28
科创板50ETF,2603,1.45,-0.0445,-0.0554,209,2025-08-28
科创板50ETF,2603,1.5,-0.0395,-0.0492,209,2025-08-28
科创板50ETF,2512,1.5,-0.0255,-0.0562,118,2025-08-28
科创板50ETF,2512,1.45,-0.0243,-0.0536,118,2025-08-28
科创板50ETF,2509,1.35,-0.0162,-0.1561,27,2025-08-28
科创板50ETF,2512,1.4,-0.0273,-0.0602,118,2025-08-28
科创板50ETF,2509,1.4,-0.0078,-0.0752,27,2025-08-28
科创板50ETF,2509,1.45,-0.008,-0.0771,27,2025-08-28
科创板50ETF,2509,1.5,-0.008,-0.0771,27,2025-08-28
科创板50ETF,2512,0.8,-0.0292,-0.0644,118,2025-08-28
科创板50ETF,2509,1.55,-0.007,-0.0674,27,2025-08-28
科创板50ETF,2512,0.85,-0.0295,-0.065,118,2025-08-28
科创板50ETF,2512,0.9,-0.0291,-0.0642,118,2025-08-28
科创板50ETF,2512,0.95,-0.0279,-0.0615,118,2025-08-28
科创板50ETF,2512,1.0,-0.0291,-0.0642,118,2025-08-28
科创板50ETF,2512,1.05,-0.0293,-0.0646,118,2025-08-28
科创板50ETF,2512,1.1,-0.031,-0.0683,118,2025-08-28
科创板50ETF,2512,1.15,-0.0286,-0.0631,118,2025-08-28
科创板50ETF,2512,1.2,-0.0302,-0.0666,118,2025-08-28
科创板50ETF,2512,1.25,-0.0338,-0.0745,118,2025-08-28
科创板50ETF,2512,1.3,-0.031,-0.0683,118,2025-08-28
500ETF,2512,7.0,-0.1752,-0.0763,118,2025-08-28
500ETF,2603,5.25,-0.314,-0.0772,209,2025-08-28
500ETF,2512,6.5,-0.1905,-0.0829,118,2025-08-28
300ETF,2512,4.4,0.0074,0.005,118,2025-08-28
300ETF,2512,4.6,0.0065,0.0044,118,2025-08-28
300ETF,2512,4.7,0.0107,0.0073,118,2025-08-28
300ETF,2512,5.0,0.0065,0.0044,118,2025-08-28
300ETF,2512,4.8,0.0112,0.0076,118,2025-08-28
300ETF,2512,4.9,0.0129,0.0088,118,2025-08-28
300ETF,2603,3.7,-0.0124,-0.0048,209,2025-08-28
300ETF,2512,3.912,0.0043,0.0029,118,2025-08-28
300ETF,2603,3.8,-0.0136,-0.0052,209,2025-08-28
300ETF,2603,3.9,-0.0099,-0.0038,209,2025-08-28
300ETF,2603,4.0,-0.0079,-0.003,209,2025-08-28
500ETF,2512,6.25,-0.1837,-0.08,118,2025-08-28
300ETF,2603,4.2,-0.0054,-0.0021,209,2025-08-28
300ETF,2603,4.4,-0.0027,-0.001,209,2025-08-28
300ETF,2603,4.3,-0.0058,-0.0022,209,2025-08-28
300ETF,2603,4.5,-0.0038,-0.0015,209,2025-08-28
300ETF,2512,4.5,0.0057,0.0039,118,2025-08-28
300ETF,2512,4.303,0.0062,0.0042,118,2025-08-28
300ETF,2603,4.7,0.0004,0.0002,209,2025-08-28
300ETF,2512,3.5,0.0017,0.0012,118,2025-08-28
300ETF,2512,3.9,0.0039,0.0026,118,2025-08-28
300ETF,2512,3.6,0.0023,0.0016,118,2025-08-28
300ETF,2512,3.7,-0.0004,-0.0003,118,2025-08-28
300ETF,2512,3.716,0.003,0.002,118,2025-08-28
300ETF,2512,3.814,0.0035,0.0024,118,2025-08-28
300ETF,2512,4.009,0.005,0.0034,118,2025-08-28
300ETF,2512,3.8,0.0036,0.0024,118,2025-08-28
300ETF,2512,3.52,0.0017,0.0012,118,2025-08-28
300ETF,2512,4.1,0.0061,0.0041,118,2025-08-28
300ETF,2512,4.0,0.0043,0.0029,118,2025-08-28
300ETF,2512,4.107,0.0061,0.0041,118,2025-08-28
300ETF,2512,3.618,0.0022,0.0015,118,2025-08-28
300ETF,2512,4.2,0.0065,0.0044,118,2025-08-28
300ETF,2512,4.205,0.0065,0.0044,118,2025-08-28
300ETF,2512,4.3,0.0029,0.002,118,2025-08-28
300ETF,2603,4.6,-0.0003,-0.0001,209,2025-08-28
300ETF,2603,4.1,-0.0081,-0.0031,209,2025-08-28
300ETF,2603,4.9,0.006,0.0023,209,2025-08-28
500ETF,2510,8.0,-0.103,-0.0962,55,2025-08-28
500ETF,2509,6.25,-0.045,-0.0856,27,2025-08-28
500ETF,2509,6.75,-0.0363,-0.0691,27,2025-08-28
500ETF,2509,7.0,-0.0395,-0.0752,27,2025-08-28
500ETF,2509,6.5,-0.037,-0.0704,27,2025-08-28
300ETF,2603,4.8,0.0012,0.0005,209,2025-08-28
500ETF,2509,7.5,-0.0383,-0.0729,27,2025-08-28
500ETF,2509,7.75,-0.0309,-0.0588,27,2025-08-28
500ETF,2509,8.0,-0.0275,-0.0523,27,2025-08-28
500ETF,2512,4.8,-0.1933,-0.0842,118,2025-08-28
500ETF,2512,4.9,-0.1931,-0.0841,118,2025-08-28
500ETF,2512,5.0,-0.1912,-0.0833,118,2025-08-28
500ETF,2512,5.5,-0.1957,-0.0852,118,2025-08-28
500ETF,2512,5.75,-0.189,-0.0823,118,2025-08-28
500ETF,2512,5.25,-0.1905,-0.0829,118,2025-08-28
500ETF,2512,6.0,-0.1892,-0.0824,118,2025-08-28
500ETF,2509,6.0,-0.0338,-0.0643,27,2025-08-28
500ETF,2509,7.25,-0.0351,-0.0668,27,2025-08-28
500ETF,2510,7.75,-0.1745,-0.163,55,2025-08-28
500ETF,2509,5.5,-0.0353,-0.0672,27,2025-08-28
500ETF,2509,4.7,-0.0302,-0.0575,27,2025-08-28
500ETF,2510,7.5,-0.131,-0.1224,55,2025-08-28
300ETF,2603,5.0,0.0081,0.0031,209,2025-08-28
500ETF,2509,5.0,-0.0325,-0.0618,27,2025-08-28
500ETF,2509,4.9,-0.0321,-0.0611,27,2025-08-28
500ETF,2509,5.25,-0.0017,-0.0032,27,2025-08-28
500ETF,2509,4.8,-0.0327,-0.0622,27,2025-08-28
500ETF,2509,5.75,-0.037,-0.0704,27,2025-08-28
500ETF,2510,6.25,-0.1349,-0.126,55,2025-08-28
500ETF,2510,6.5,-0.0833,-0.0778,55,2025-08-28
500ETF,2510,6.75,-0.0796,-0.0744,55,2025-08-28
500ETF,2510,7.0,-0.089,-0.0831,55,2025-08-28
500ETF,2510,7.25,-0.079,-0.0738,55,2025-08-28
500ETF,2510,6.0,-0.1577,-0.1473,55,2025-08-28
50ETF,2508,3.0,0.0031,0.3709,0,2025-08-27
50ETF,2508,3.3,0.0063,0.7537,0,2025-08-27
50ETF,2508,3.2,-0.0016,-0.1914,0,2025-08-27
50ETF,2509,2.35,0.0076,0.0325,28,2025-08-27
50ETF,2508,2.7,0.0014,0.1675,0,2025-08-27
50ETF,2508,3.1,-0.0003,-0.0359,0,2025-08-27
50ETF,2508,2.9,0.0037,0.4426,0,2025-08-27
50ETF,2508,2.95,-0.0058,-0.6939,0,2025-08-27
50ETF,2508,2.85,0.0018,0.2153,0,2025-08-27
50ETF,2508,2.65,0.0023,0.2752,0,2025-08-27
50ETF,2508,2.6,0.0039,0.4666,0,2025-08-27
科创板50ETF,2512,1.05,-0.0169,-0.0397,119,2025-08-27
50ETF,2509,2.4,0.0083,0.0355,28,2025-08-27
50ETF,2508,3.4,0.006,0.7178,0,2025-08-27
科创板50ETF,2508,1.0,-0.0028,-0.7831,0,2025-08-27
50ETF,2509,2.45,0.0072,0.0308,28,2025-08-27
500ETF,2509,7.0,-0.038,-0.0712,28,2025-08-27
500ETF,2509,6.75,-0.0322,-0.0604,28,2025-08-27
500ETF,2509,6.5,-0.0387,-0.0726,28,2025-08-27
500ETF,2509,6.25,-0.0428,-0.0802,28,2025-08-27
500ETF,2509,6.0,-0.0517,-0.0969,28,2025-08-27
500ETF,2509,5.75,-0.037,-0.0694,28,2025-08-27
500ETF,2509,5.25,-0.0401,-0.0752,28,2025-08-27
500ETF,2509,5.5,-0.0388,-0.0727,28,2025-08-27
500ETF,2509,5.0,-0.037,-0.0694,28,2025-08-27
500ETF,2509,4.8,-0.0379,-0.0711,28,2025-08-27
科创50ETF,2512,1.45,-0.0109,-0.025,119,2025-08-27
500ETF,2509,4.7,-0.0373,-0.0699,28,2025-08-27
500ETF,2508,8.0,0.0084,0.441,0,2025-08-27
500ETF,2508,7.75,0.0026,0.1365,0,2025-08-27
500ETF,2508,7.5,-0.0042,-0.2205,0,2025-08-27
500ETF,2508,7.25,0.01,0.525,0,2025-08-27
500ETF,2509,7.25,-0.0371,-0.0696,28,2025-08-27
500ETF,2509,7.5,-0.0378,-0.0709,28,2025-08-27
500ETF,2508,7.0,0.0151,0.7927,0,2025-08-27
500ETF,2509,8.0,-0.033,-0.0619,28,2025-08-27
500ETF,2512,7.75,-0.1572,-0.0693,119,2025-08-27
500ETF,2512,7.5,-0.1577,-0.0696,119,2025-08-27
500ETF,2512,7.25,-0.1588,-0.0701,119,2025-08-27
500ETF,2512,7.0,-0.1621,-0.0715,119,2025-08-27
50ETF,2508,2.8,0.0048,0.5742,0,2025-08-27
500ETF,2512,6.25,-0.1763,-0.0778,119,2025-08-27
500ETF,2512,6.5,-0.1776,-0.0783,119,2025-08-27
500ETF,2512,6.0,-0.175,-0.0772,119,2025-08-27
500ETF,2512,5.5,-0.1775,-0.0783,119,2025-08-27
500ETF,2512,5.75,-0.1774,-0.0783,119,2025-08-27
500ETF,2512,5.25,-0.1802,-0.0795,119,2025-08-27
500ETF,2512,5.0,-0.1805,-0.0796,119,2025-08-27
500ETF,2512,4.9,-0.1804,-0.0796,119,2025-08-27
500ETF,2512,4.8,-0.1808,-0.0798,119,2025-08-27
500ETF,2509,7.75,-0.0367,-0.0688,28,2025-08-27
500ETF,2508,6.75,-0.0131,-0.6877,0,2025-08-27
500ETF,2508,6.5,0.0029,0.1522,0,2025-08-27
300ETF,2512,3.912,0.0069,0.0047,119,2025-08-27
300ETF,2603,3.9,-0.0056,-0.0022,210,2025-08-27
300ETF,2603,3.7,-0.006,-0.0023,210,2025-08-27
300ETF,2512,4.8,0.0138,0.0095,119,2025-08-27
300ETF,2512,4.9,0.0148,0.0101,119,2025-08-27
300ETF,2512,5.0,0.0162,0.0111,119,2025-08-27
300ETF,2512,4.7,0.0103,0.0071,119,2025-08-27
300ETF,2512,4.6,0.0111,0.0076,119,2025-08-27
300ETF,2512,4.5,0.0102,0.007,119,2025-08-27
300ETF,2512,4.4,0.006,0.0041,119,2025-08-27
300ETF,2512,4.3,0.0088,0.006,119,2025-08-27
300ETF,2512,4.303,0.0083,0.0057,119,2025-08-27
300ETF,2512,4.205,0.0074,0.0051,119,2025-08-27
300ETF,2512,4.107,0.0073,0.005,119,2025-08-27
300ETF,2512,4.2,0.0066,0.0045,119,2025-08-27
300ETF,2512,4.1,0.0072,0.0049,119,2025-08-27
300ETF,2512,4.009,0.0007,0.0005,119,2025-08-27
300ETF,2603,3.8,-0.0044,-0.0017,210,2025-08-27
300ETF,2603,4.0,-0.0021,-0.0008,210,2025-08-27
500ETF,2508,6.0,0.0067,0.3517,0,2025-08-27
300ETF,2603,4.1,-0.0007,-0.0003,210,2025-08-27
500ETF,2508,6.25,0.0062,0.3255,0,2025-08-27
500ETF,2508,5.75,0.0063,0.3307,0,2025-08-27
500ETF,2508,5.5,0.0089,0.4672,0,2025-08-27
500ETF,2508,5.25,0.0089,0.4672,0,2025-08-27
500ETF,2508,5.0,0.0102,0.5355,0,2025-08-27
300ETF,2603,5.0,0.0158,0.0061,210,2025-08-27
50ETF,2509,2.95,0.0022,0.0094,28,2025-08-27
300ETF,2603,4.8,0.0107,0.0042,210,2025-08-27
300ETF,2603,4.9,0.0129,0.005,210,2025-08-27
300ETF,2603,4.7,0.0085,0.0033,210,2025-08-27
300ETF,2603,4.4,0.003,0.0012,210,2025-08-27
300ETF,2603,4.6,0.0068,0.0026,210,2025-08-27
300ETF,2603,4.5,0.0049,0.0019,210,2025-08-27
300ETF,2603,4.3,0.0011,0.0004,210,2025-08-27
300ETF,2603,4.2,0.0104,0.004,210,2025-08-27
500ETF,2512,8.0,-0.1553,-0.0685,119,2025-08-27
500ETF,2603,5.5,-0.2695,-0.0674,210,2025-08-27
500ETF,2603,6.0,-0.2607,-0.0652,210,2025-08-27
科创板50ETF,2512,1.45,-0.0105,-0.0247,119,2025-08-27
科创板50ETF,2512,1.4,-0.0105,-0.0247,119,2025-08-27
科创板50ETF,2508,1.35,-0.0025,-0.6992,0,2025-08-27
科创板50ETF,2512,0.9,-0.0225,-0.0529,119,2025-08-27
科创板50ETF,2508,1.3,-0.003,-0.8391,0,2025-08-27
科创板50ETF,2512,1.25,-0.0134,-0.0315,119,2025-08-27
科创板50ETF,2509,1.55,-0.0055,-0.0549,28,2025-08-27
科创板50ETF,2512,1.2,-0.0123,-0.0289,119,2025-08-27
500ETF,2603,5.25,-0.2766,-0.0691,210,2025-08-27
科创板50ETF,2512,1.35,-0.011,-0.0259,119,2025-08-27
科创板50ETF,2512,1.3,-0.0114,-0.0268,119,2025-08-27
科创板50ETF,2512,1.1,-0.0164,-0.0385,119,2025-08-27
科创板50ETF,2512,1.0,-0.0169,-0.0397,119,2025-08-27
科创板50ETF,2512,0.95,-0.0171,-0.0402,119,2025-08-27
科创板50ETF,2512,0.85,-0.0171,-0.0402,119,2025-08-27
科创板50ETF,2512,0.8,-0.018,-0.0423,119,2025-08-27
500ETF,2512,6.75,-0.1719,-0.0758,119,2025-08-27
科创板50ETF,2603,1.55,-0.0017,-0.0023,210,2025-08-27
500ETF,2603,6.25,-0.2545,-0.0636,210,2025-08-27
科创板50ETF,2509,1.4,-0.0104,-0.1039,28,2025-08-27
科创板50ETF,2603,1.25,-0.0055,-0.0073,210,2025-08-27
科创板50ETF,2603,1.3,-0.0045,-0.006,210,2025-08-27
科创板50ETF,2603,1.5,-0.0031,-0.0041,210,2025-08-27
科创板50ETF,2603,1.4,-0.0045,-0.006,210,2025-08-27
科创板50ETF,2603,1.35,-0.005,-0.0067,210,2025-08-27
科创板50ETF,2603,1.2,-0.0093,-0.0124,210,2025-08-27
科创板50ETF,2603,1.15,-0.0093,-0.0124,210,2025-08-27
科创板50ETF,2603,1.1,-0.0104,-0.0139,210,2025-08-27
科创板50ETF,2603,1.0,-0.0116,-0.0154,210,2025-08-27
科创板50ETF,2512,1.55,-0.0114,-0.0268,119,2025-08-27
科创板50ETF,2512,1.5,-0.0103,-0.0242,119,2025-08-27
科创板50ETF,2603,1.05,-0.0115,-0.0153,210,2025-08-27
